"","account_num","address","bank_name","id","industry","legal_form","location","name","phone","tax_num"
"11","000530000101660347","БУЛЕВАР ТУРИСТИЧКА 4 а-1/5","ОХРИДСКА БАНКА А.Д. - ОХРИД","6740804","Товарен патен транспорт","Д.О.О.Е.Л. ДРУШТВО СО ОГРАНИЧЕНА ОДГОВОРНОСТ НА ЕДНО ЛИЦЕ","ОХРИД","Друштво за производство трговија транспорт и услуги РИА КОМЕРЦ 1991 ДООЕЛ Охрид","046/261-210","MK4020011517698"
"12","000200002093321781","НЕВРОКОПСКА 2А/-10","СТОПАНСКА БАНКА АД СКОПЈЕ","6535046","Производство на електрична опрема за осветлување","Д.О.О.Е.Л. ДРУШТВО СО ОГРАНИЧЕНА ОДГОВОРНОСТ НА ЕДНО ЛИЦЕ","СКОПЈЕ-К. ВОДА","Друштво за трговија,производство и услуги АРЕСЕ Солушнс ДООЕЛ Скопје","","MK4058009502982"
"13","000250001002649632","ИВАН ЦАНКАР 10/-","ШПАРКАСЕ БАНКА МАКЕДОНИЈА АД СКОПЈЕ","6557210","Трговија на мало со цвеќе  садници  семе  Ѓ","Д.О.О.Е.Л. ДРУШТВО СО ОГРАНИЧЕНА ОДГОВОРНОСТ НА ЕДНО ЛИЦЕ","КУМАНОВО","Друштво за производство, трговија, услуги и превоз АГРО-ЦЕНТАР-АМП ДООЕЛ увоз-извоз Куманово","","MK4017010512608"
"14","000530010101445831","ПАРТЕНИЈ ЗОГРАФСКИ 77-а","ОХРИДСКА БАНКА А.Д. - ОХРИД","6711847","Такси служба","ДРУШТВО СО ОГРАНИЧЕНА ОДГОВОРНОСТ","СКОПЈЕ-ЦЕНТАР","Друштво за трговија,транспорт и услуги ГРАДСКО ТАКСИ СОНЦЕ ДОО Скопје","02/3298-868","MK4080011522350"
"15","000300010000124632","РАШАНЕЦ 94","КОМЕРЦИЈАЛНА БАНКА АД СКОПЈЕ","6486290","Дејности на покривни конструкции","Д.О.О.Е.Л. ДРУШТВО СО ОГРАНИЧЕНА ОДГОВОРНОСТ НА ЕДНО ЛИЦЕ","ЛЕСКОЕЦ","Трговско друштво за градеЖништво производство трговија и услуги ЛИМОПРОФИЛ увоз-извоз ДООЕЛ с.Лескоец Охрид","078/302-121","MK4020009507448"
"16","000300010000128803","БУЛ.ТУРИСТИЧКА ЗГР.КИФЛА 2/2-2","КОМЕРЦИЈАЛНА БАНКА АД СКОПЈЕ","6549080","Аптеки","ЗДРАВСТВЕНА УСТАНОВА","ОХРИД","Приватна здравствена установа - аптека МЕДИКАПЛУС-ФАРМ Охрид","046/263-003","MK4020010509624"
"17","000210068007180127","С.МУРТИНО 4/-","НЛБ ТУТУНСКА БАНКА АД СКОПЈЕ","6800718","Интернет портали","ДРУШТВО СО ОГРАНИЧЕНА ОДГОВОРНОСТ","МУРТИНО","Друштво за производство,трговија и услуги МЕГАНТИК ДОО увоз-извоз с.Муртино Струмица","075/568-567","MK4027012516690"
"18","000530010101570476","ПРАшКА 48/Избрисх","ОХРИДСКА БАНКА А.Д. - ОХРИД","6836240","Друго образование  неспомнато на друго место","Д.О.О.Е.Л. ДРУШТВО СО ОГРАНИЧЕНА ОДГОВОРНОСТ НА ЕДНО ЛИЦЕ","СКОПЈЕ-КАРПОШ","Друштво за образование ЦЕЛ ГЛОБАЛ ДООЕЛ увоз-извоз Скопје","","MK4080012533231"
"19","000250001002665540","С.ЗУБОВО 40/-","ШПАРКАСЕ БАНКА МАКЕДОНИЈА АД СКОПЈЕ","6570267","Трговија на големо со овошје и зеленчук","Д.О.О.Е.Л. ДРУШТВО СО ОГРАНИЧЕНА ОДГОВОРНОСТ НА ЕДНО ЛИЦЕ","ЗУБОВО","Друштво за производство,трговија и услуги ЕУРО-АГРИЈА ДООЕЛ с.Зубово Ново Село","034/330-638","MK4067010500321"
"20","000200002648347148","РАДОЈЦА НОВИЧИЌ 272","СТОПАНСКА БАНКА А.Д.ЦЕНТРАЛА СКОПЈЕ","6908195","Трговија на мало во неспецијализирани продавници  претежно со храна  пијалаци и тутун","Д.О.О.Е.Л. ДРУШТВО СО ОГРАНИЧЕНА ОДГОВОРНОСТ НА ЕДНО ЛИЦЕ","ОХРИД","Трговско друштво за производство трговија и услуги НЛ СТАР ТРЕЈД ДООЕЛ увоз-извоз Охрид","070/579-232","MK4020013524160"
"21","000200002537121031","БОРИС ТРАЈКОВСКИ 111","СТОПАНСКА БАНКА АД СКОПЈЕ","6839126","Инженерство и со него поврзано техничко советување","Д.О.О.Е.Л. ДРУШТВО СО ОГРАНИЧЕНА ОДГОВОРНОСТ НА ЕДНО ЛИЦЕ","СКОПЈЕ-К. ВОДА","Друштво за геодетски работи и услуги ГЕОДИН ГЕО ДООЕЛ Скопје","","MK4080013533618"
"22","000380877031200121","КОРОШИШТА СТРУГА","","6576672","Изградба на станбени и нестанбени згради","Д.О.О.Е.Л. ДРУШТВО СО ОГРАНИЧЕНА ОДГОВОРНОСТ НА ЕДНО ЛИЦЕ","КОРОШИШТА","Трговско друштво за градеЖништво трговија и услуги ЈОНИ-ЈОНА ДООЕЛ с.Корошишта Струга","071-355-216","MK4026010508804"
"23","000210067171100170","ПЛОшТАД “МАКЕДОНИЈА“ 1/-","НЛБ ТУТУНСКА БАНКА АД СКОПЈЕ","6717110","Трговија на електрична енергија","Д.О.О.Е.Л. ДРУШТВО СО ОГРАНИЧЕНА ОДГОВОРНОСТ НА ЕДНО ЛИЦЕ","СКОПЈЕ-ЦЕНТАР","ЕВН Македонија Електроснабдување ДООЕЛ Скопје, Друштво за снабдување со електрична енергија","","MK4080011522805"
"24","000530010101558351","НАУМ НАУМОВСКИ - БОРчЕ 87/11-Избр","ОХРИДСКА БАНКА А.Д. - ОХРИД","6835058","Инженерство и со него поврзано техничко советување","Д.О.О.Е.Л. ДРУШТВО СО ОГРАНИЧЕНА ОДГОВОРНОСТ НА ЕДНО ЛИЦЕ","СКОПЈЕ-ЦЕНТАР","Друштво за геодетски работи и услуги ТОПОМЕТРИА ДООЕЛ  Скопје","","MK4080012533088"
"25","000210067294600182","КАЧАНИЧКИ ПАТ ББ","НЛБ ТУТУНСКА БАНКА АД СКОПЈЕ","6729460","Производство на зачини и други додатоци","Д.О.О.Е.Л. ДРУШТВО СО ОГРАНИЧЕНА ОДГОВОРНОСТ НА ЕДНО ЛИЦЕ","СКОПЈЕ - БУТЕЛ","Друштво за производство, трговија и услуги В КОМ ГРОУП ДООЕЛ  Скопје","","MK4038011504916"
"26","000530060101709911","С.ПРОСЕНИКОВО 225/-","ОХРИДСКА БАНКА А.Д. - ОХРИД","6854214","Трговија на големо со овошје и зеленчук","Д.О.О.Е.Л. ДРУШТВО СО ОГРАНИЧЕНА ОДГОВОРНОСТ НА ЕДНО ЛИЦЕ","ПРОСЕНИКОВО","Друштво за производство,трговија и услуги ФРЕшКО КОМПАНИ ДООЕЛ с.Просениково Струмица","071/307-402","MK4027013518114"
"27","000320100004429215","ГОЦЕ ДЕЛчЕВ 38/-","ЦЕНТРАЛНА КООПЕРАТИВНА БАНКА АД СКОПЈЕ","6477143","Трговија на мало во неспецијализирани продавници  претежно со храна  пијалаци и тутун","ДРУШТВО СО ОГРАНИЧЕНА ОДГОВОРНОСТ","ШТИП","Друштво за производство, земјоделство, трговија и услуги ДЕЈЛАНД ДОО увоз-извоз штип","","MK4029009504888"
"28","000530000101281659","ГОЦЕ ДЕЛЧЕВ 248","ОХРИДСКА БАНКА А.Д. - ОХРИД","6583091","Аптеки","ЗДРАВСТВЕНА УСТАНОВА","ОХРИД","Приватна здравствена установа-аптека ЛИСА ФАРМ Охрид","046/271-497","MK4020010510690"
"29","000530000101651229","АБАС ЕМИН 19 лок.5","ОХРИДСКА БАНКА А.Д. - ОХРИД","6878024","Производство на останати прехранбени производи  неспоменати на друго место","Д.О.О.Е.Л. ДРУШТВО СО ОГРАНИЧЕНА ОДГОВОРНОСТ НА ЕДНО ЛИЦЕ","ОХРИД","Друштво за производство трговија и услуги КВАЛИТЕТ ПРЕМИУМ увоз-извоз Охрид ДООЕЛ","072/248-994","MK4020013523199"
"30","000240010002165408","БОРКА ТАЛЕВСКИ 26/9-29","УНИВЕРЗАЛНА ИНВЕСТИЦИОНА БАНКА АД СКОПЈЕ","6665640","Производство на друг мебел","ДРУШТВО СО ОГРАНИЧЕНА ОДГОВОРНОСТ","СКОПЈЕ-ЦЕНТАР","Друштво за производство, градеЖништво, трговија и услуги СМИЛЕВСКИ ГРОУП ДОО увоз-извоз Скопје","","MK4080010518294"
"31","000270067079120121","ЛЕЦЕ КОТЕСКИ ББ","ХАЛК БАНКА АД СКОПЈЕ","6707912","Производство на плочи  листови  цевки и профили од пластични маси","Д.О.О.Е.Л. ДРУШТВО СО ОГРАНИЧЕНА ОДГОВОРНОСТ НА ЕДНО ЛИЦЕ","ПРИЛЕП","Друштво за производство на пластични производи,промет и услуги,увоз-извоз НАМИ-ПЛАСТ Прилеп ДООЕЛ","075/316-453","MK4021011515497"
"32","000240160100047567","НАСЕЛЕНО МЕСТО БЕЗ УЛИЧЕН","УНИВЕРЗАЛНА ИНВЕСТИЦИОНА БАНКА АД СКОПЈЕ","6816932","Трговија на мало со риби  лушпари и мекотели во специјализирани продавници","Д.О.О.Е.Л. ДРУШТВО СО ОГРАНИЧЕНА ОДГОВОРНОСТ НА ЕДНО ЛИЦЕ","ЗВЕГОР","Друштво за производство,трговија и услуги РИБНИК ВОДЕНИЦА ДООЕЛ увоз-извоз Звегор Делчево!!! СУБЈЕКТОТ Е ВО ПОСТАПКА ЗА БРИшЕЊЕ ПО чЛЕН 552 б","076250886","MK4009012503573"
"33","000500000000642361","ДОБРИВОЕ РАДОСАВЉЕВИќ 26/-","СТОПАНСКА БАНКА АД БИТОЛА","6443974","Трговија на мало со обувки и предмети од кожа во специјализирани продавници","Д.О.О.Е.Л. ДРУШТВО СО ОГРАНИЧЕНА ОДГОВОРНОСТ НА ЕДНО ЛИЦЕ","БИТОЛА","Друштво за трговија, услуги и производство ТОМ АЛ БИ 1991 увоз-извоз ДООЕЛ Битола","","MK4002009510564"
"34","000290000001349612","БУЛЕВАР ТУРИСТИЧКА 1/8","ТТК БАНКА АД СКОПЈЕ","6766013","Пробно дупчење и сондирање","Д.О.О.Е.Л. ДРУШТВО СО ОГРАНИЧЕНА ОДГОВОРНОСТ НА ЕДНО ЛИЦЕ","ОХРИД","Трговско друштво за производство градеЖништво трговија услуги и угостителство ГПР ИНЖЕНЕРИНГ ДООЕЛ увоз-извоз Охрид","070/331-030","MK4020012518825"
"35","000300010000153635","7-МИ НОЕМВРИ 44/2","КОМЕРЦИЈАЛНА БАНКА АД СКОПЈЕ","6878806","Производство на други производи од пластични маси","Д.О.О.Е.Л. ДРУШТВО СО ОГРАНИЧЕНА ОДГОВОРНОСТ НА ЕДНО ЛИЦЕ","ОХРИД","Друштво за производство трговија и услуги КСЛ ЛЕМАКС увоз-извоз ДООЕЛ Охрид","078/767-101","MK4020013523237"
"36","000330100190850008","МЛАДИНСКА 43/-","ИНТРНАЦИОНАЛНА ПРИВАТНА БАНКА А.Д. СКОПЈЕ","6590659","Неспецијализирана трговија на големо","Д.О.О.Е.Л. ДРУШТВО СО ОГРАНИЧЕНА ОДГОВОРНОСТ НА ЕДНО ЛИЦЕ","СТРУМИЦА","Друштво за застапување, посредување и трговија АМБАЛАЖНИ СЕРВИС ДООЕЛ увоз-извоз Струмица","","MK4013010505347"
"37","000200002449763995","БРАЌА МИЛАДИНОВЦИ 26","СТОПАНСКА БАНКА А.Д.ЦЕНТРАЛА СКОПЈЕ","6785255","Сметководствени  книговодствени и ревизорски работи; даночно советување","Д.О.О.Е.Л. ДРУШТВО СО ОГРАНИЧЕНА ОДГОВОРНОСТ НА ЕДНО ЛИЦЕ","СТРУГА","Друштво за книговодствени услуги ПРО ЕКОНОМИК 2012 ДООЕЛ Струга!!! СУБЈЕКТОТ Е ВО ПОСТАПКА ЗА БРИшЕЊЕ ПО чЛЕН 552 б ОД ЗТД.!!!","","MK4026012514143"
"38","000210065110310144","ХРИСТО УЗУНОВ 2","НЛБ ТУТУНСКА БАНКА АД СКОПЈЕ","6511031","Трговија на мало со моторни горива и мазива во специјализирани продавници","ДРУШТВО СО ОГРАНИЧЕНА ОДГОВОРНОСТ","СКОПЈЕ-К. ВОДА","Друштво за трговија на големо и мало АБВ ПЕТРОЛ ДОО Скопје","02/3051-855","MK4058009502222"
"39","000200002555601859","ТАНЕ ЦАЛЕСКИ 15А/СТ.4","СТОПАНСКА БАНКА АД СКОПЈЕ","6852165","Правни работи","АДВОКАТСКО ДРУШТВО","КИЧЕВО","Адвокатско друштво КИТАНОСКА - СПАСЕСКА Кичево","","MK4012013508553"
"40","000250001002816278","С.КОСТУРИНО 420/-","ШПАРКАСЕ БАНКА МАКЕДОНИЈА АД СКОПЈЕ","6883540","Производство на метални врати и прозорци","Д.О.О.Е.Л. ДРУШТВО СО ОГРАНИЧЕНА ОДГОВОРНОСТ НА ЕДНО ЛИЦЕ","КОСТУРИНО","Друштво за производство,трговија и услуги МЕТАЛИНЖЕНЕРИНГ-ЈАНЕВИ ДООЕЛ с.Костурино Струмица","","MK4027013518734"
"41","000370031100281454","КЛИМЕНТ ОХРИДСКИ 6/-","ЕУРОСВИСС БАНКА А.Д. СКОПЈЕ","6881661","Трговија на големо со цврсти  течни и гасовити горива и слични производи","Д.О.О.Е.Л. ДРУШТВО СО ОГРАНИЧЕНА ОДГОВОРНОСТ НА ЕДНО ЛИЦЕ","СТРУМИЦА","Друштво за производство,трговија и услуги ЗОКИ ПЕТРОЛ ДООЕЛ Струмица","034/323-487","MK4027013518700"
"42","000200001986113598","КОЗЛЕ 9 7","СТОПАНСКА БАНКА АД СКОПЈЕ","6504825","Ресторани и останати објекти за подготовка и послужување на храна","Д.О.О.Е.Л. ДРУШТВО СО ОГРАНИЧЕНА ОДГОВОРНОСТ НА ЕДНО ЛИЦЕ","СКОПЈЕ-КАРПОШ","Друштво за производство, трговија и услуги ВЕДАС ДООЕЛ Скопје","","MK4057009502676"
"43","000200002352459027","ДИМИТАР ВЛАХОВ 26","СТОПАНСКА БАНКА АД СКОПЈЕ","6717543","Сметководствени  книговодствени и ревизорски работи; даночно советување","Д.О.О.Е.Л. ДРУШТВО СО ОГРАНИЧЕНА ОДГОВОРНОСТ НА ЕДНО ЛИЦЕ","ОХРИД","Трговско друштво за производство трговија и услуги МЕГРА чАУЛЕ увоз-извоз ДООЕЛ Охрид","070/621-322","MK4020011516780"
"44","000210065446060124","НИКОЛА ПАРАПУНОВ 33/-28","НЛБ ТУТУНСКА БАНКА АД СКОПЈЕ","6544606","Трговија на мало со обувки и предмети од кожа во специјализирани продавници","ДРУШТВО СО ОГРАНИЧЕНА ОДГОВОРНОСТ","СКОПЈЕ-КАРПОШ","Друштво за трговија и услуги АСТЕРА ГРУП ДОО Скопје","","MK4057009504350"
"45","000210067991080164","ВАСИЛ ГЛАВИНОВ 38/-","НЛБ ТУТУНСКА БАНКА АД СКОПЈЕ","6799108","Друга трговија на мало во неспецијализирани продавници","Д.О.О.Е.Л. ДРУШТВО СО ОГРАНИЧЕНА ОДГОВОРНОСТ НА ЕДНО ЛИЦЕ","СТРУМИЦА","Друштво за производство,трговија и услуги НИПРОМ-МП ДООЕЛ Струмица","034-354-644","MK4027012516657"
"46","000270067570140135","15-ТИ КОРПУС 292","ХАЛК БАНКА АД СКОПЈЕ","6757014","Трговија на мало со метална стока  бои и стакло во специјализирани продавници","Д.О.О.Е.Л. ДРУШТВО СО ОГРАНИЧЕНА ОДГОВОРНОСТ НА ЕДНО ЛИЦЕ","ОХРИД","Друштво за производство трговија и услуги ДЕАДОР 2012 увоз-извоз Охрид ДООЕЛ","046/266-680","MK4020012518370"
"47","000200002309969341","БЕЛЧЕ 00ББ","СТОПАНСКА БАНКА А.Д.ЦЕНТРАЛА СКОПЈЕ","6694411","Собирање на безопасен отпад","Д.О.О.Е.Л. ДРУШТВО СО ОГРАНИЧЕНА ОДГОВОРНОСТ НА ЕДНО ЛИЦЕ","БЕЛЧЕ","Друштво за производство,трговија и услуги СТИЛ ПЛАЦ КОМПАНИ увоз-извоз ДООЕЛ с.Белче Демир Хисар","","MK4010011501583"
"48","000210064938900183","ДРАСЛАЈЦА","НЛБ ТУТУНСКА БАНКА АД СКОПЈЕ","6493890","Останати специјализирани градежни работи  неспомнати на друго место","Д.О.О.Е.Л. ДРУШТВО СО ОГРАНИЧЕНА ОДГОВОРНОСТ НА ЕДНО ЛИЦЕ","ДРАСЛАЈЦА","Друштво за производство,трговија и услуги Ј ЛЕНД ФУД ДООЕЛ с.Драслајца Струга","071/249-035","MK4026009506504"
"49","000530000101327055","15-ТИ КОРПУС бб","ОХРИДСКА БАНКА А.Д. - ОХРИД","6597254","Електроинсталатерски работи","Д.О.О.Е.Л. ДРУШТВО СО ОГРАНИЧЕНА ОДГОВОРНОСТ НА ЕДНО ЛИЦЕ","ОХРИД","Друштво за производство трговија и услуги КА ИНЖЕНЕРИНГ 2010 ДООЕЛ Охрид","046/257-202","MK4020010511173"
"50","000210068489230163","101 1/-","НЛБ ТУТУНСКА БАНКА АД СКОПЈЕ","6848923","Трговија на мало со козметички и тоалетни препарати во специјализирани продавници","Д.О.О.Е.Л. ДРУШТВО СО ОГРАНИЧЕНА ОДГОВОРНОСТ НА ЕДНО ЛИЦЕ","ПИРОК","Друштво за производство трговија и услуги ДР.КЛИН ДООЕЛ експорт-импорт с.Пирок,Боговиње","","MK4035013501486"
"51","000200001929488684","МАРшАЛ ТИТО 77/-","СТОПАНСКА БАНКА АД СКОПЈЕ СТОПАНСКА БАНКА-ФИЛИЈАЛА","6461549","Високо образование","ОБРАЗОВНА УСТАНОВА","СВЕТИ НИКОЛЕ","Мегународен Славјански Универзитет ГАВРИЛО РОМАНОВИч ДЕРЖАВИН Свети Николе","032440201","MK4025009501344"
"52","000250001002815793","КОСТА АБРАШ 1","ШПАРКАСЕ БАНКА МАКЕДОНИЈА АД СКОПЈЕ","6882595","Хотели и слични објекти за сместување","Д.О.О.Е.Л. ДРУШТВО СО ОГРАНИЧЕНА ОДГОВОРНОСТ НА ЕДНО ЛИЦЕ","ОХРИД","Друштво за туризам и угостителство ХОТЕЛ ЛИХНИДОС СКВЕР ДООЕЛ Охрид","070/307-711","MK4020013523318"
"53","000530000101462176","КЕЈ МАРШАЛ ТИТО бб","ОХРИДСКА БАНКА А.Д. - ОХРИД","6745369","Ресторани и останати објекти за подготовка и послужување на храна","Д.О.О.Е.Л. ДРУШТВО СО ОГРАНИЧЕНА ОДГОВОРНОСТ НА ЕДНО ЛИЦЕ","ОХРИД","Трговско друштво за производство градеЖништво трговија услуги и угостотелство ЗОРПАЛчЕ ДООЕЛ увоз-извоз Охрид","070/749-916","MK4020011517876"
"54","000300000003378740","АПОСТОЛ ГУСЛАРОТ 6 локал 1/","КОМЕРЦИЈАЛНА БАНКА АД СКОПЈЕ","6765939","Трговија на мало со мебел  опрема за осветлување и други предмети за домаќинствата  во специјализирани продавници","ДРУШТВО СО ОГРАНИЧЕНА ОДГОВОРНОСТ","СКОПЈЕ-ЦЕНТАР","Друштво за трговија и услуги БОТТЕГА ЕВЕНТИ ДОО Скопје","070/333-981","MK4032012516359"
"55","000210064574520168","МАРШАЛ ТИТО ХОТЕЛ БЕОГРАД бб","НЛБ ТУТУНСКА БАНКА АД СКОПЈЕ","6457452","Ресторани и останати објекти за подготовка и послужување на храна","Д.О.О.Е.Л. ДРУШТВО СО ОГРАНИЧЕНА ОДГОВОРНОСТ НА ЕДНО ЛИЦЕ","СТРУГА","Трговско друштво за трговија производство и услуги ЏИПЕ-2009 Струга ДООЕЛ","070/750-065","MK4026009505397"
"56","000240230001110231","27-МИ МАРТ 49","УНИВЕРЗАЛНА ИНВЕСТИЦИОНА БАНКА АД СКОПЈЕ","6138810","Изградба на станбени и нестанбени згради","Д.О.О.Е.Л. ДРУШТВО СО ОГРАНИЧЕНА ОДГОВОРНОСТ НА ЕДНО ЛИЦЕ","СТРУГА","Друштво за производство,градеЖништво,трговија и услуги РУСЕСКИ увоз-извоз Струга ДООЕЛ","","MK4026006133260"
"57","000210066921330117","РИЛСКИ КОНГРЕС 92/-15","НЛБ ТУТУНСКА БАНКА АД СКОПЈЕ","6692133","Техничко испитување и анализа","Д.О.О.Е.Л. ДРУШТВО СО ОГРАНИЧЕНА ОДГОВОРНОСТ НА ЕДНО ЛИЦЕ","СКОПЈЕ-К. ВОДА","Логистички центар за тековно одрЖување на возила ПАУЕР АУТО ДООЕЛ Скопје","02/5512-692","MK4058011509153"
"58","000250001002580956","ЛИХНИДА 1","ШПАРКАСЕ БАНКА МАКЕДОНИЈА АД СКОПЈЕ","6486215","Трговија на мало со аудио и видеоопрема во специјализирани продавници","Д.О.О.Е.Л. ДРУШТВО СО ОГРАНИЧЕНА ОДГОВОРНОСТ НА ЕДНО ЛИЦЕ","СКОПЈЕ - ЃОРЧЕ ПЕТРОВ","Друштво за трговија и услуги ДИРЕКТНА ПРОДАЖБА И СЕРВИС ДООЕЛ Скопје","","MK4080009503550"
"59","000380576937000138","24-ТИ ОКТОМВРИ 20","ПРОКРЕДИТ БАНКА АД СКОПЈЕ","6559620","Трговија на мало со метална стока  бои и стакло во специјализирани продавници","Д.О.О.Е.Л. ДРУШТВО СО ОГРАНИЧЕНА ОДГОВОРНОСТ НА ЕДНО ЛИЦЕ","СТРУМИЦА","Друштво за производство,трговија и услуги АЛФА-ДИЗАЈН ДООЕЛ увоз-извоз Струмица","034/321-121","MK4027010510686"
"60","000290000001057836","БУДВА 45","ТТК БАНКА АД СКОПЈЕ","6499040","Довршување на текстил","Д.О.О.Е.Л. ДРУШТВО СО ОГРАНИЧЕНА ОДГОВОРНОСТ НА ЕДНО ЛИЦЕ","ОХРИД","Трговско друштво за производство градеЖништво трговија услуги и угостителство ПОЛИКСЕНА ДООЕЛ увоз-извоз Охрид","","MK4020009507952"
"61","000210065925700195","МАЈКА ТЕРЕЗА 11 лок 1","НЛБ ТУТУНСКА БАНКА АД СКОПЈЕ","6592570","Товарен патен транспорт","ДРУШТВО СО ОГРАНИЧЕНА ОДГОВОРНОСТ","СКОПЈЕ-ЦЕНТАР","Друштво за транспорт, производство, трговија, градеЖништво и услуги РДЛ СОУЛ ДОО увоз-извоз Скопје","","MK4080010511710"
"62","000320100004559389","ПИРИНСКА 30/-","ЦЕНТРАЛНА КООПЕРАТИВНА БАНКА АД СКОПЈЕ","6428991","Останати услуги за подготвување и служење на храна","Д.О.О.Е.Л. ДРУШТВО СО ОГРАНИЧЕНА ОДГОВОРНОСТ НА ЕДНО ЛИЦЕ","СТРУМИЦА","Друштво за услуги,производство и трговија ЕМГЕ-МИГО ДООЕЛ увоз-извоз Струмица","034/344-231","MK4027008506566"
"63","000210064889190108","ДЕЛОГОЖДА СТРУГА ББ","НЛБ ТУТУНСКА БАНКА АД СКОПЈЕ","6488919","Ресторани и останати објекти за подготовка и послужување на храна","Д.О.О.Е.Л. ДРУШТВО СО ОГРАНИЧЕНА ОДГОВОРНОСТ НА ЕДНО ЛИЦЕ","ДЕЛОГОЖДА","Друштво за производство трговија и услуги БИГ СТОУН ДООЕЛ с.ДелогоЖди Струга","","MK4026009506334"
